,Metric,Value,"[theta,neighbour]"
3,RNSB,0.03956306039826891,"[0.02, 50]"
4,RND,0.02165007955730555,"[0.02, 50]"
5,RIPA,0.014552590437233448,"[0.02, 50]"
0,WEAT,0.10148147509329626,"[0.05, 50]"
1,WEATES,0.5969769617499107,"[0.05, 50]"
2,ECT,0.7463092490196442,"[0.05, 50]"
3,RNSB,0.04378873714570675,"[0.05, 50]"
4,RND,0.02101843836697452,"[0.05, 50]"
5,RIPA,0.013022001832723618,"[0.05, 50]"
0,WEAT,0.09458248630954362,"[0.1, 50]"
1,WEATES,0.6069730293135248,"[0.1, 50]"
2,ECT,0.7266271905207516,"[0.1, 50]"
3,RNSB,0.03775332961604997,"[0.1, 50]"
4,RND,0.020407996981578354,"[0.1, 50]"
5,RIPA,0.01263150479644537,"[0.1, 50]"
0,WEAT,0.09680622660383356,"[0.02, 100]"
1,WEATES,0.4717558202230208,"[0.02, 100]"
2,ECT,0.8278566018900307,"[0.02, 100]"
3,RNSB,0.0328639817162055,"[0.02, 100]"
4,RND,0.020862835837596946,"[0.02, 100]"
5,RIPA,0.014811350964009762,"[0.02, 100]"
0,WEAT,0.09759140111165243,"[0.05, 100]"
1,WEATES,0.5609866812507562,"[0.05, 100]"
2,ECT,0.7498090012128741,"[0.05, 100]"
3,RNSB,0.04257925762707903,"[0.05, 100]"
4,RND,0.019160832083211937,"[0.05, 100]"
5,RIPA,0.01331974845379591,"[0.05, 100]"
0,WEAT,0.09532756521271563,"[0.1, 100]"
1,WEATES,0.605507612725033,"[0.1, 100]"
2,ECT,0.7266413668304185,"[0.1, 100]"
3,RNSB,0.038879206373821425,"[0.1, 100]"
4,RND,0.02032820594308603,"[0.1, 100]"
5,RIPA,0.012915469706058502,"[0.1, 100]"
0,WEAT,0.10800341174282373,"[0.02, 200]"
1,WEATES,0.5308871947309234,"[0.02, 200]"
2,ECT,0.7730465691357139,"[0.02, 200]"
3,RNSB,0.03431874892407992,"[0.02, 200]"
4,RND,0.018632242224135415,"[0.02, 200]"
5,RIPA,0.014868117868900299,"[0.02, 200]"
0,WEAT,0.09683418980397408,"[0.05, 200]"
1,WEATES,0.5473046221932358,"[0.05, 200]"
2,ECT,0.7014725523728513,"[0.05, 200]"
3,RNSB,0.045131374467978505,"[0.05, 200]"
4,RND,0.018765942602590523,"[0.05, 200]"
5,RIPA,0.013561229221522808,"[0.05, 200]"
0,WEAT,0.10195835475411497,"[0.1, 200]"
1,WEATES,0.6383600287972785,"[0.1, 200]"
2,ECT,0.7406956324986887,"[0.1, 200]"
3,RNSB,0.040058870166266906,"[0.1, 200]"
4,RND,0.020563073583403212,"[0.1, 200]"
5,RIPA,0.013528733514249325,"[0.1, 200]"
