,Weat,Weates,RND,RIPA,ECT,RNSB,theta,neighbours
2,0.048436966223817754,0.3471806856697148,0.01234813588983781,0.008365476,0.7588382091785933,0.014597261357922412,0.02,100
2,0.06331049650550492,0.3352581209266333,0.012662621076331598,0.008640418,0.8278247253915142,0.012628612790724568,0.05,100
2,0.05674660295734439,0.3528536994250251,0.013147109000129914,0.008369555,0.8481179161770206,0.012625334072413159,0.1,100
2,0.05194218815294027,0.38885346650666414,0.01236205383255784,0.0064963507,0.7559350438295529,0.01225295813883685,0.02,200
2,0.061104685030543365,0.37815398064388805,0.012582676453005072,0.0089450255,0.8081037968527012,0.0121779790051833,0.05,200
2,0.058253145590140214,0.3464541613576696,0.013516302974228898,0.0077770776,0.8123200380601872,0.009784554885247551,0.1,200
3,0.02984321549899,0.1589025556500955,0.006271877291530846,0.011032722,0.9578696412744002,0.008743287502496944,0.02,50
3,0.026514268136530454,0.1705591158191576,0.005735565300491934,0.012631063,0.9602271914616379,0.00983821893534169,0.05,50
3,0.030418183712096477,0.22544182939414417,0.005065324249633742,0.013941917,0.9634332777010034,0.007763843803902594,0.1,50
3,0.02351466047075775,0.12446082939680556,0.00622284705527452,0.009894009,0.9473658850171484,0.007029921673429494,0.02,100
3,0.025641133458144887,0.16846000689567348,0.0056494228237173654,0.012414162,0.9651116805076088,0.01049716933350194,0.05,100
3,0.029829805844920426,0.2111639825708311,0.0051937750420591195,0.013511264,0.965399630583936,0.009677332122251206,0.1,100
3,0.030840757429977265,0.16367130361957116,0.007494390385486456,0.009764202,0.907262722988563,0.007288081113062545,0.02,200
3,0.02428312705792781,0.149877636748428,0.006010311201908273,0.010960556,0.9391539286210394,0.010072477597170634,0.05,200
3,0.025357499230106842,0.17439698393616396,0.0055268952275833935,0.0126567865,0.9669558334361689,0.010953015570852823,0.1,200
4,0.11146035802942304,0.5162447426976767,0.025613003841577314,0.013580536,0.6748533595701937,0.016397030565598044,0.02,50
4,0.1132410574854675,0.4904102465844911,0.023321058471304223,0.016286805,0.6804961125236891,0.014469444007149642,0.05,50
4,0.12112730440327268,0.548060429208917,0.022763178266188972,0.017410854,0.6315982682056862,0.01521884657620724,0.1,50
4,0.1255806096544578,0.5553254810184006,0.02793218461785983,0.013870019,0.694108688317293,0.01271483575938844,0.02,100
4,0.11836314169964178,0.5066992854061897,0.025263413908218475,0.014967702,0.6660282147821882,0.015409702844763853,0.05,100
4,0.12397040855671755,0.5697241321642641,0.02372580143462961,0.016338168,0.6554630742476908,0.013083338617330978,0.1,100
4,0.12604092297288522,0.515584037162622,0.02875701523909975,0.01340009,0.6556437841352498,0.014416098485714417,0.02,200
4,0.12793130125335836,0.5316053245382908,0.027228358363114588,0.014035139,0.6924515979510613,0.016662158633208676,0.05,200
4,0.12220744224993405,0.5651578056841057,0.024293105109321065,0.0154803805,0.6654115788333228,0.013019913480800508,0.1,200
5,0.04122318538407936,0.35229531563277316,0.012773989056633009,0.011104025,0.7550940170096104,0.01543203247967442,0.02,50
5,0.030004632961862645,0.313651977597384,0.01181762006933674,0.012349576,0.8575411668724006,0.01710872110220624,0.05,50
5,0.031167985189841284,0.34136273793701216,0.012178570833903238,0.013620193,0.8750533095002333,0.017380531760621865,0.1,50
5,0.04067515447453822,0.35931617525620074,0.013006020252028188,0.009389383,0.8089197998734051,0.01320907810186793,0.02,100
5,0.033129204464741276,0.31664053847483553,0.011356079372947657,0.010607942,0.8510047093878031,0.021216812054719834,0.05,100
5,0.03144855809995479,0.3262967273319357,0.012436365132494529,0.0132372,0.8767797666341764,0.020917473935787568,0.1,100
5,0.03510181821158914,0.3357394135575848,0.012781552211290384,0.006954377,0.7368558624050133,0.012394425881047248,0.02,200
5,0.0347434687521887,0.28584038619873803,0.01221243699921381,0.009350158,0.8343094523348519,0.012697553916524959,0.05,200
5,0.027894589896800926,0.29753341836697944,0.011698323342623012,0.012794825,0.8789626246536185,0.019068858538474648,0.1,200
6,0.06094988990704025,0.4867162664473981,0.021904975582416553,0.011838272,0.8211561397050978,0.029478499294878623,0.02,50
