,Metric,Value,"[theta,neighbour]"
5,RIPA,0.010036024264991283,"[0.05, 100]"
0,WEAT,0.04198971567963807,"[0.1, 100]"
1,WEATES,0.34299557467888836,"[0.1, 100]"
2,ECT,0.847448417864268,"[0.1, 100]"
3,RNSB,0.016366131631423888,"[0.1, 100]"
4,RND,0.010687317644522756,"[0.1, 100]"
5,RIPA,0.010100149549543858,"[0.1, 100]"
0,WEAT,0.04244622635400312,"[0.02, 200]"
1,WEATES,0.3993929624742053,"[0.02, 200]"
2,ECT,0.813416312908004,"[0.02, 200]"
3,RNSB,0.01661119973270438,"[0.02, 200]"
4,RND,0.013548095603110136,"[0.02, 200]"
5,RIPA,0.006547069642692804,"[0.02, 200]"
0,WEAT,0.041507767001268084,"[0.05, 200]"
1,WEATES,0.3560624612285186,"[0.05, 200]"
2,ECT,0.8442280342516889,"[0.05, 200]"
3,RNSB,0.01760838252646668,"[0.05, 200]"
4,RND,0.011155075179806977,"[0.05, 200]"
5,RIPA,0.00999519694596529,"[0.05, 200]"
0,WEAT,0.04101369098577458,"[0.1, 200]"
1,WEATES,0.3444949536036445,"[0.1, 200]"
2,ECT,0.8469908387768373,"[0.1, 200]"
3,RNSB,0.019866710767786056,"[0.1, 200]"
4,RND,0.010604633448872016,"[0.1, 200]"
5,RIPA,0.010200709104537964,"[0.1, 200]"
0,WEAT,0.04967557781718371,"[0.02, 50]"
1,WEATES,0.3858814051538849,"[0.02, 50]"
2,ECT,0.8232534449201104,"[0.02, 50]"
3,RNSB,0.025510132919880336,"[0.02, 50]"
4,RND,0.022704580914155618,"[0.02, 50]"
5,RIPA,0.011337636969983578,"[0.02, 50]"
0,WEAT,0.056888611104114875,"[0.05, 50]"
1,WEATES,0.4202589969704857,"[0.05, 50]"
2,ECT,0.8661529912334093,"[0.05, 50]"
3,RNSB,0.030325306346063185,"[0.05, 50]"
4,RND,0.02103332656457325,"[0.05, 50]"
5,RIPA,0.012901633977890015,"[0.05, 50]"
0,WEAT,0.059708308561409684,"[0.1, 50]"
1,WEATES,0.44739631754180914,"[0.1, 50]"
2,ECT,0.8417049163618432,"[0.1, 50]"
3,RNSB,0.029633596418051765,"[0.1, 50]"
4,RND,0.02225398531967739,"[0.1, 50]"
5,RIPA,0.01786518096923828,"[0.1, 50]"
0,WEAT,0.04024435307664079,"[0.02, 100]"
1,WEATES,0.29025185391922836,"[0.02, 100]"
2,ECT,0.8685145403177471,"[0.02, 100]"
3,RNSB,0.027522130168520766,"[0.02, 100]"
4,RND,0.023818172225153547,"[0.02, 100]"
5,RIPA,0.010645038448274136,"[0.02, 100]"
0,WEAT,0.058693264511631676,"[0.05, 100]"
1,WEATES,0.426751948910829,"[0.05, 100]"
2,ECT,0.8527829905773073,"[0.05, 100]"
3,RNSB,0.03077543717155431,"[0.05, 100]"
4,RND,0.021875522973921462,"[0.05, 100]"
5,RIPA,0.012253887951374054,"[0.05, 100]"
0,WEAT,0.05585764079882834,"[0.1, 100]"
1,WEATES,0.42847955056905185,"[0.1, 100]"
2,ECT,0.8366172419375335,"[0.1, 100]"
