,Metric,Value,"[theta,neighbour]"
5,RIPA,0.012349575757980347,"[0.05, 50]"
0,WEAT,0.031167985189841284,"[0.1, 50]"
1,WEATES,0.34136273793701216,"[0.1, 50]"
2,ECT,0.8750533095002333,"[0.1, 50]"
3,RNSB,0.017380531760621865,"[0.1, 50]"
4,RND,0.012178570833903238,"[0.1, 50]"
5,RIPA,0.013620193116366863,"[0.1, 50]"
0,WEAT,0.04067515447453822,"[0.02, 100]"
1,WEATES,0.35931617525620074,"[0.02, 100]"
2,ECT,0.8089197998734051,"[0.02, 100]"
3,RNSB,0.01320907810186793,"[0.02, 100]"
4,RND,0.013006020252028188,"[0.02, 100]"
5,RIPA,0.009389382787048817,"[0.02, 100]"
0,WEAT,0.033129204464741276,"[0.05, 100]"
1,WEATES,0.31664053847483553,"[0.05, 100]"
2,ECT,0.8510047093878031,"[0.05, 100]"
3,RNSB,0.021216812054719834,"[0.05, 100]"
4,RND,0.011356079372947657,"[0.05, 100]"
5,RIPA,0.010607942007482052,"[0.05, 100]"
0,WEAT,0.03144855809995479,"[0.1, 100]"
1,WEATES,0.3262967273319357,"[0.1, 100]"
2,ECT,0.8767797666341764,"[0.1, 100]"
3,RNSB,0.020917473935787568,"[0.1, 100]"
4,RND,0.012436365132494529,"[0.1, 100]"
5,RIPA,0.013237199746072292,"[0.1, 100]"
0,WEAT,0.03510181821158914,"[0.02, 200]"
1,WEATES,0.3357394135575848,"[0.02, 200]"
2,ECT,0.7368558624050133,"[0.02, 200]"
3,RNSB,0.012394425881047248,"[0.02, 200]"
4,RND,0.012781552211290384,"[0.02, 200]"
5,RIPA,0.0069543770514428616,"[0.02, 200]"
0,WEAT,0.0347434687521887,"[0.05, 200]"
1,WEATES,0.28584038619873803,"[0.05, 200]"
2,ECT,0.8343094523348519,"[0.05, 200]"
3,RNSB,0.012697553916524959,"[0.05, 200]"
4,RND,0.01221243699921381,"[0.05, 200]"
5,RIPA,0.009350158274173737,"[0.05, 200]"
