,Metric,Value,"[theta,neighbour]"
2,ECT,0.9512007173818885,"[0.1, 50]"
3,RNSB,0.010880205341682912,"[0.1, 50]"
4,RND,0.006953225229506574,"[0.1, 50]"
5,RIPA,0.022146115079522133,"[0.1, 50]"
0,WEAT,0.06759705761813854,"[0.02, 100]"
1,WEATES,0.33956411931595787,"[0.02, 100]"
2,ECT,0.9230418732717333,"[0.02, 100]"
3,RNSB,0.011604895564947133,"[0.02, 100]"
4,RND,0.009960783430276511,"[0.02, 100]"
5,RIPA,0.012586104683578014,"[0.02, 100]"
0,WEAT,0.06334588429426115,"[0.05, 100]"
1,WEATES,0.3473473418031224,"[0.05, 100]"
2,ECT,0.9537107129395713,"[0.05, 100]"
3,RNSB,0.012349415920957065,"[0.05, 100]"
4,RND,0.008178555459638257,"[0.05, 100]"
5,RIPA,0.018307002261281013,"[0.05, 100]"
0,WEAT,0.05588684300878508,"[0.1, 100]"
1,WEATES,0.3774684187674659,"[0.1, 100]"
2,ECT,0.9512698356658577,"[0.1, 100]"
3,RNSB,0.012366305114375555,"[0.1, 100]"
4,RND,0.0071283633254982486,"[0.1, 100]"
5,RIPA,0.02180567942559719,"[0.1, 100]"
0,WEAT,0.0721855246383058,"[0.02, 200]"
1,WEATES,0.3285091368377494,"[0.02, 200]"
2,ECT,0.9288338968232481,"[0.02, 200]"
3,RNSB,0.011003150095759773,"[0.02, 200]"
4,RND,0.011146253242710265,"[0.02, 200]"
5,RIPA,0.01359535288065672,"[0.02, 200]"
0,WEAT,0.061579587673641335,"[0.05, 200]"
1,WEATES,0.3147471775582141,"[0.05, 200]"
2,ECT,0.9440515993131569,"[0.05, 200]"
3,RNSB,0.011755169968410485,"[0.05, 200]"
4,RND,0.008654428552825109,"[0.05, 200]"
5,RIPA,0.01713232509791851,"[0.05, 200]"
0,WEAT,0.056337077731340696,"[0.1, 200]"
1,WEATES,0.35230056422913203,"[0.1, 200]"
2,ECT,0.9524979699086891,"[0.1, 200]"
3,RNSB,0.010049647847896744,"[0.1, 200]"
4,RND,0.007603125136060467,"[0.1, 200]"
5,RIPA,0.020184563472867012,"[0.1, 200]"
0,WEAT,0.10155695363915543,"[0.02, 50]"
1,WEATES,0.501810001440593,"[0.02, 50]"
2,ECT,0.6937544105669922,"[0.02, 50]"
3,RNSB,0.024749180863055064,"[0.02, 50]"
4,RND,0.026688951605085498,"[0.02, 50]"
5,RIPA,0.01222992967814207,"[0.02, 50]"
0,WEAT,0.08441571993984877,"[0.05, 50]"
1,WEATES,0.43767792188520765,"[0.05, 50]"
2,ECT,0.6892462083003497,"[0.05, 50]"
3,RNSB,0.01701582912581552,"[0.05, 50]"
4,RND,0.023048286650354757,"[0.05, 50]"
5,RIPA,0.015550452284514904,"[0.05, 50]"
0,WEAT,0.07951501097637423,"[0.1, 50]"
1,WEATES,0.4036202252021756,"[0.1, 50]"
2,ECT,0.6671203225084784,"[0.1, 50]"
3,RNSB,0.013613485540962287,"[0.1, 50]"
4,RND,0.022507903967431093,"[0.1, 50]"
5,RIPA,0.01685136742889881,"[0.1, 50]"
0,WEAT,0.1132306452160527,"[0.02, 100]"
1,WEATES,0.5284652126431527,"[0.02, 100]"
2,ECT,0.6634403226735491,"[0.02, 100]"
3,RNSB,0.016969401520380806,"[0.02, 100]"
4,RND,0.027807259885285773,"[0.02, 100]"
5,RIPA,0.013320057652890682,"[0.02, 100]"
0,WEAT,0.08590384897878986,"[0.05, 100]"
1,WEATES,0.4420517970180004,"[0.05, 100]"
2,ECT,0.6884654921454318,"[0.05, 100]"
3,RNSB,0.01656991618499221,"[0.05, 100]"
4,RND,0.025419760425146366,"[0.05, 100]"
5,RIPA,0.014114328660070896,"[0.05, 100]"
0,WEAT,0.07883742169308876,"[0.1, 100]"
1,WEATES,0.395308535133633,"[0.1, 100]"
2,ECT,0.6737205359697405,"[0.1, 100]"
3,RNSB,0.019176018987405875,"[0.1, 100]"
4,RND,0.023422916700764438,"[0.1, 100]"
5,RIPA,0.015615738928318024,"[0.1, 100]"
0,WEAT,0.09509048526028616,"[0.02, 200]"
1,WEATES,0.4651647244526429,"[0.02, 200]"
2,ECT,0.5908952130746149,"[0.02, 200]"
3,RNSB,0.02033745372642622,"[0.02, 200]"
4,RND,0.028243814795836264,"[0.02, 200]"
5,RIPA,0.01081137266010046,"[0.02, 200]"
0,WEAT,0.08768782928609614,"[0.05, 200]"
1,WEATES,0.4522684508290359,"[0.05, 200]"
2,ECT,0.6677601402442264,"[0.05, 200]"
3,RNSB,0.01621727709819542,"[0.05, 200]"
4,RND,0.02678483326176387,"[0.05, 200]"
5,RIPA,0.012870117090642452,"[0.05, 200]"
0,WEAT,0.08396834779095813,"[0.1, 200]"
1,WEATES,0.3959263035186247,"[0.1, 200]"
2,ECT,0.6719701523511455,"[0.1, 200]"
3,RNSB,0.014434592617110348,"[0.1, 200]"
4,RND,0.024598319014298754,"[0.1, 200]"
5,RIPA,0.013724025338888168,"[0.1, 200]"
0,WEAT,0.05202602280092171,"[0.02, 50]"
