,Metric,Value,solver
2,ECT,0.8694237519480176,full
3,RNSB,0.04817161532209719,full
4,RND,0.12890169784510588,full
5,RIPA,0.18177330493927002,full
0,WEAT,0.14484518260821705,arpack
1,WEATES,0.7051748903116308,arpack
2,ECT,0.8694237519480176,arpack
3,RNSB,0.05514984992386412,arpack
4,RND,0.12890168090717805,arpack
5,RIPA,0.18177330493927002,arpack
0,WEAT,0.14405040523473736,randomized
