,Metric,Value,alpha
4,RND,0.23628121318673767,60
5,RIPA,0.09680545330047607,60
0,WEAT,0.08369772624812394,80
1,WEATES,0.5939534221635691,80
2,ECT,0.4051419748448777,80
3,RNSB,0.13623750843731217,80
4,RND,0.24362871492081606,80
5,RIPA,0.11020950227975845,80
0,WEAT,0.08856884039576099,100
1,WEATES,0.6003851245937726,100
2,ECT,0.39884510631629566,100
3,RNSB,0.13310494665115505,100
4,RND,0.24927545350923697,100
5,RIPA,0.12320167571306229,100
0,WEAT,0.09162546254984882,0
1,WEATES,0.8354784041976439,0
2,ECT,0.4013706140606545,0
3,RNSB,0.05750140117543615,0
4,RND,0.3311866948483755,0
5,RIPA,0.07532814890146255,0
0,WEAT,0.11145422674902168,10
1,WEATES,0.9571097377818882,10
2,ECT,0.4152447070785437,10
3,RNSB,0.09987228076944661,10
4,RND,0.32686357798348653,10
5,RIPA,0.08117128908634186,10
0,WEAT,0.12386562766683155,30
1,WEATES,1.0159882343694195,30
2,ECT,0.44388976132370206,30
3,RNSB,0.0946422981077055,30
4,RND,0.31931277249751006,30
5,RIPA,0.09168589860200882,30
0,WEAT,0.13297715804756172,60
1,WEATES,1.0346679979528268,60
2,ECT,0.45204143036940364,60
3,RNSB,0.13760261041394653,60
4,RND,0.31393253778717306,60
5,RIPA,0.10310588032007217,60
0,WEAT,0.13670292048479393,80
1,WEATES,1.0348969350501238,80
2,ECT,0.4549770270495131,80
3,RNSB,0.11470439903644132,80
4,RND,0.31176185266018014,80
5,RIPA,0.10838814824819565,80
0,WEAT,0.13945915490770863,100
1,WEATES,1.0319306798684005,100
2,ECT,0.4722277333911842,100
3,RNSB,0.1264584025932198,100
4,RND,0.3100958865205794,100
5,RIPA,0.1125737726688385,100
