,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
6,0.09596873779336226,0.7130417861434387,0.2339630255313201,0.12582238,0.6365283060699719,0.14265061365606463,100
7,0.04528889471652484,0.45838583138578215,0.2515406613192699,0.08952863,0.3442971838621102,0.08597344114270554,0
7,0.045610361445755546,0.4453970124508171,0.23439154492614034,0.1031011,0.3523716250610171,0.21550714018265096,10
7,0.06259639377916788,0.4973722977580267,0.21321590191658735,0.11291227,0.3496357173093441,0.23429165072883038,30
7,0.07783866347450791,0.5266506382574316,0.20228398311889761,0.12125295,0.3330739266900395,0.24508466883936084,60
7,0.08527460401812828,0.5405109477894048,0.20458230515209197,0.12514222,0.32581916911204517,0.2124590942562708,80
7,0.09235789727993109,0.5684989172204681,0.20620712290396662,0.1295978,0.3352509371763921,0.23840410187265484,100
8,0.04701696888341149,0.4282360593904553,0.1713230379221022,0.068143286,0.565401155460535,0.08787469601378366,0
8,0.051778092184056684,0.43533771048222836,0.20016323001418423,0.06379274,0.519913986129381,0.08004024501930332,10
8,0.06466294379091876,0.5289736468499171,0.21982601140895952,0.07782991,0.43681881473790246,0.12664503218981557,30
8,0.07734984014877794,0.5809941987135844,0.23628121318673767,0.09680545,0.4238150865784233,0.1702198157524071,60
8,0.08369772624812394,0.5939534221635691,0.24362871492081606,0.1102095,0.4051419748448777,0.13623750843731217,80
8,0.08856884039576099,0.6003851245937726,0.24927545350923697,0.123201676,0.39884510631629566,0.13310494665115505,100
9,0.09162546254984882,0.8354784041976439,0.3311866948483755,0.07532815,0.4013706140606545,0.05750140117543615,0
9,0.11145422674902168,0.9571097377818882,0.32686357798348653,0.08117129,0.4152447070785437,0.09987228076944661,10
9,0.12386562766683155,1.0159882343694195,0.31931277249751006,0.0916859,0.44388976132370206,0.0946422981077055,30
9,0.13297715804756172,1.0346679979528268,0.31393253778717306,0.10310588,0.45204143036940364,0.13760261041394653,60
9,0.13670292048479393,1.0348969350501238,0.31176185266018014,0.10838815,0.4549770270495131,0.11470439903644132,80
9,0.13945915490770863,1.0319306798684005,0.3100958865205794,0.11257377,0.4722277333911842,0.1264584025932198,100
