,Metric,Value,alpha
5,RIPA,0.12174948304891586,60
0,WEAT,0.08227078807096894,80
1,WEATES,0.6560542174082143,80
2,ECT,0.6493840090668542,80
3,RNSB,0.17564997063648655,80
4,RND,0.24671479482267122,80
5,RIPA,0.12824587523937225,80
0,WEAT,0.08766933688590195,100
1,WEATES,0.6797704549549274,100
2,ECT,0.6556684765871467,100
3,RNSB,0.15052992508266927,100
4,RND,0.25079058071006843,100
5,RIPA,0.1337750405073166,100
0,WEAT,0.057655670397071916,0
1,WEATES,0.6097136086901649,0
2,ECT,0.30026481732213123,0
3,RNSB,0.11437986709496117,0
4,RND,0.2436629905880289,0
5,RIPA,0.07858001440763474,0
0,WEAT,0.06490803148867096,10
1,WEATES,0.6283611631367377,10
2,ECT,0.28966748038232415,10
3,RNSB,0.17281780566792784,10
4,RND,0.22707314462964176,10
5,RIPA,0.09386777132749557,10
0,WEAT,0.0784801021215703,30
1,WEATES,0.6153136918565324,30
2,ECT,0.2963133256907862,30
3,RNSB,0.1695270348439019,30
4,RND,0.2004536900280018,30
5,RIPA,0.10727446526288986,30
0,WEAT,0.0899950031698197,60
1,WEATES,0.5811974111748436,60
2,ECT,0.27546302598417616,60
3,RNSB,0.19407746391575564,60
4,RND,0.19287970493921403,60
5,RIPA,0.1185615286231041,60
0,WEAT,0.09737088390374216,80
1,WEATES,0.6060486623405525,80
2,ECT,0.2765418565540771,80
3,RNSB,0.15871340861015507,80
4,RND,0.19452394037009424,80
5,RIPA,0.12430837750434875,80
0,WEAT,0.10356124033756016,100
1,WEATES,0.6313685048155094,100
2,ECT,0.2684710749143271,100
3,RNSB,0.1617749097435183,100
4,RND,0.19591679966638154,100
5,RIPA,0.13217607140541077,100
0,WEAT,0.038243854292354586,0
1,WEATES,0.3851424413581733,0
2,ECT,0.5116649440711704,0
3,RNSB,0.0826886280216853,0
4,RND,0.1903535493942907,0
5,RIPA,0.08679340034723282,0
0,WEAT,0.048896780969405834,10
1,WEATES,0.4614179066029239,10
2,ECT,0.4616541785645502,10
3,RNSB,0.06673749644380375,10
4,RND,0.21278621079192153,10
5,RIPA,0.0912574902176857,10
0,WEAT,0.05993672870595607,30
1,WEATES,0.5452595581392011,30
2,ECT,0.45787397286948117,30
3,RNSB,0.13561421247202066,30
4,RND,0.2259719010894247,30
5,RIPA,0.09633030742406845,30
0,WEAT,0.07201808102677536,60
1,WEATES,0.5876012877208082,60
2,ECT,0.4747762102356447,60
3,RNSB,0.16421577489996556,60
4,RND,0.2379193176707033,60
5,RIPA,0.10738661140203476,60
0,WEAT,0.07794489699036428,80
1,WEATES,0.5978647385804313,80
2,ECT,0.46414503531449,80
3,RNSB,0.11692442382002437,80
4,RND,0.24339942855469154,80
5,RIPA,0.11784876137971878,80
0,WEAT,0.0827530551516572,100
1,WEATES,0.6026432576755346,100
2,ECT,0.4664761290361414,100
3,RNSB,0.13728686719779867,100
4,RND,0.2476894548775467,100
5,RIPA,0.12661901116371155,100
