,Metric,Value,alpha
5,RIPA,0.08281604200601578,30
0,WEAT,0.07148767867051631,60
1,WEATES,0.5273108451791899,60
2,ECT,0.4867240980648237,60
3,RNSB,0.18875845185922469,60
4,RND,0.26195382275219203,60
5,RIPA,0.1098480299115181,60
0,WEAT,0.07796423234989822,80
1,WEATES,0.5459507537200992,80
2,ECT,0.5014216338251365,80
3,RNSB,0.15662531231804136,80
4,RND,0.2650217132272075,80
5,RIPA,0.12269074469804764,80
0,WEAT,0.08300436604899239,100
1,WEATES,0.5570028853447121,100
2,ECT,0.49948305831169226,100
3,RNSB,0.12331919025487538,100
4,RND,0.267223448883368,100
5,RIPA,0.1331152766942978,100
0,WEAT,0.0792657599939281,0
1,WEATES,0.7088246000489822,0
2,ECT,0.5117505758699276,0
3,RNSB,0.05494242476138347,0
4,RND,0.3386298628553401,0
5,RIPA,0.08534099906682968,0
0,WEAT,0.09828045532196197,10
1,WEATES,0.8121303796052038,10
2,ECT,0.47008181417231903,10
3,RNSB,0.10065087273997185,10
4,RND,0.32871238689867227,10
5,RIPA,0.08172715455293655,10
0,WEAT,0.11529899942199,30
1,WEATES,0.9361357585791222,30
2,ECT,0.4450945229606855,30
3,RNSB,0.14203393156292526,30
4,RND,0.32608779233894913,30
5,RIPA,0.08811068534851074,30
0,WEAT,0.12710389068636843,60
1,WEATES,0.9900536447547925,60
2,ECT,0.46641016014642406,60
3,RNSB,0.1369977191370153,60
4,RND,0.32365355508459726,60
5,RIPA,0.10086378455162048,60
0,WEAT,0.13177946715232605,80
1,WEATES,1.0019720739346327,80
2,ECT,0.47390419541991063,80
3,RNSB,0.20559728338129615,80
4,RND,0.3222200836526131,80
5,RIPA,0.10681840032339096,80
0,WEAT,0.13519897273581677,100
1,WEATES,1.006799266637439,100
2,ECT,0.4976016491338135,100
3,RNSB,0.1735024117973107,100
4,RND,0.3208620111725989,100
5,RIPA,0.11142390221357346,100
