,Metric,Value,alpha
1,WEATES,0.7260313204994905,100
2,ECT,0.620974132776077,100
3,RNSB,0.160598784532183,100
4,RND,0.241518122450169,100
5,RIPA,0.13319110870361328,100
0,WEAT,0.06207887382441439,0
1,WEATES,0.6438278397963332,0
2,ECT,0.3152909955193553,0
3,RNSB,0.10879834679408133,0
4,RND,0.24736693088086878,0
5,RIPA,0.07446962594985962,0
0,WEAT,0.06723676975601649,10
1,WEATES,0.6369754860625066,10
2,ECT,0.35861721623826265,10
3,RNSB,0.15802843075489453,10
4,RND,0.21963948071888015,10
5,RIPA,0.08676481992006302,10
0,WEAT,0.0792233303590576,30
1,WEATES,0.6435714374728738,30
2,ECT,0.3539622283749422,30
3,RNSB,0.18405052485629292,30
4,RND,0.18999483290699506,30
5,RIPA,0.09729927778244019,30
0,WEAT,0.09062479217825228,60
1,WEATES,0.63156331493257,60
2,ECT,0.31228923461094366,60
3,RNSB,0.1571721789960244,60
4,RND,0.18588881948805833,60
5,RIPA,0.11311893910169601,60
0,WEAT,0.09659615133647816,80
1,WEATES,0.6367856128421819,80
2,ECT,0.30561956613803526,80
3,RNSB,0.20328080066362336,80
4,RND,0.1874037510876362,80
5,RIPA,0.12279865890741348,80
0,WEAT,0.10233860499197783,100
1,WEATES,0.6564804354794916,100
2,ECT,0.3114982804601835,100
3,RNSB,0.22348685738081553,100
4,RND,0.18879448702174817,100
5,RIPA,0.13253402709960938,100
0,WEAT,0.047350957800374835,0
1,WEATES,0.41919680414470484,0
2,ECT,0.6160436955106744,0
3,RNSB,0.0828763155937385,0
4,RND,0.19289666219236914,0
5,RIPA,0.06759537756443024,0
0,WEAT,0.051013471586303025,10
1,WEATES,0.4558797078098022,10
2,ECT,0.5665602409122736,10
3,RNSB,0.09785595355898703,10
4,RND,0.21844630937252849,10
5,RIPA,0.05926661193370819,10
0,WEAT,0.05559238927260429,30
1,WEATES,0.510061772929158,30
2,ECT,0.5047006834277018,30
3,RNSB,0.12137565584503572,30
4,RND,0.2363027385530112,30
5,RIPA,0.07020711153745651,30
0,WEAT,0.0677313492384903,60
1,WEATES,0.5566179636405048,60
2,ECT,0.4657371233453534,60
3,RNSB,0.1822995638976796,60
4,RND,0.24941259711164784,60
5,RIPA,0.09431352466344833,60
0,WEAT,0.0745624524541509,80
1,WEATES,0.5719891714556086,80
2,ECT,0.4748197435161439,80
3,RNSB,0.1782177903160333,80
4,RND,0.2545675072567947,80
5,RIPA,0.11026453971862793,80
0,WEAT,0.07998131565495759,100
1,WEATES,0.58019495888016,100
2,ECT,0.47036090244921697,100
3,RNSB,0.11762841594801408,100
4,RND,0.25826784865788616,100
5,RIPA,0.12299571186304092,100
0,WEAT,0.11070759422191845,0
1,WEATES,0.9743258972290022,0
2,ECT,0.4528961815601988,0
3,RNSB,0.07777314213295919,0
4,RND,0.2860865633128538,0
5,RIPA,0.07279390096664429,0
0,WEAT,0.12174894639353749,10
1,WEATES,1.0296066426229888,10
2,ECT,0.42878428768724114,10
3,RNSB,0.0882113590109419,10
4,RND,0.29382724880992733,10
5,RIPA,0.07590500265359879,10
0,WEAT,0.12964167489365036,30
1,WEATES,1.0586401819668714,30
2,ECT,0.4664950869414339,30
3,RNSB,0.12332615871073715,30
4,RND,0.29641421867389245,30
5,RIPA,0.08395043760538101,30
0,WEAT,0.13585322817497986,60
1,WEATES,1.0639078946241305,60
2,ECT,0.4437283905969847,60
3,RNSB,0.17353901046518677,60
4,RND,0.29757177030671794,60
5,RIPA,0.09486675262451172,60
0,WEAT,0.13862876756152606,80
1,WEATES,1.0618270028360406,80
2,ECT,0.4364605341552026,80
3,RNSB,0.16178663515211714,80
4,RND,0.29792693405444465,80
5,RIPA,0.10062748193740845,80
0,WEAT,0.14078814694340042,100
1,WEATES,1.058160667942192,100
2,ECT,0.44950407268924675,100
3,RNSB,0.16956483603365038,100
4,RND,0.2981146285621236,100
5,RIPA,0.1053270474076271,100
