,Metric,Value,alpha
0,WEAT,0.14353038309777466,80
1,WEATES,1.08451954923283,80
2,ECT,0.4790587399695581,80
3,RNSB,0.1766767873408777,80
4,RND,0.30359457044713334,80
5,RIPA,0.11011447757482529,80
0,WEAT,0.14544255360673058,100
1,WEATES,1.0774892682630879,100
2,ECT,0.5189234807131896,100
3,RNSB,0.15792914289385496,100
4,RND,0.30322209364526603,100
5,RIPA,0.11402800679206848,100
